"Cancel my order","Annuleer mijn bestelling"
"Order number","Bestelnummer"
"Email address","E-mailadres"
"Your name","Uw naam"
"Reason (optional)","Reden (optioneel)"
"Continue","Doorgaan"
"e.g. 000000123","bijv. 000000123"
"Excluded products","Uitgesloten producten"
"Return shipping","Retourkosten"
"Refunds","Terugbetalingen"
"Please confirm your withdrawal","Bevestig uw herroeping"
"You are about to withdraw from the following order. This action will be recorded.","U staat op het punt de volgende bestelling te herroepen. Deze actie wordt vastgelegd."
"Name","Naam"
"Email","E-mail"
"Item","Artikel"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Order total","Ordertotaal"
"Confirm withdrawal","Herroeping bevestigen"
"Cancel","Annuleren"
"Your withdrawal has been received","Uw herroeping is ontvangen"
"We have recorded your withdrawal and sent a confirmation to your email address as proof.","We hebben uw herroeping vastgelegd en als bewijs een bevestiging naar uw e-mailadres gestuurd."
"Proof reference","Bewijsreferentie"
"Confirmation sent to","Bevestiging verzonden naar"
"Confirm your withdrawal","Bevestig uw herroeping"
"Withdrawal received","Herroeping ontvangen"
"We could not find an order matching those details. Please check your order number and email address.","We konden geen bestelling vinden met deze gegevens. Controleer uw bestelnummer en e-mailadres."
"Too many attempts. Please wait a few minutes and try again.","Te veel pogingen. Wacht enkele minuten en probeer het opnieuw."
"The withdrawal period for this order has expired.","De herroepingstermijn voor deze bestelling is verstreken."
"A withdrawal request for this order has already been received.","Er is al een herroepingsverzoek voor deze bestelling ontvangen."
"Please complete all required fields.","Vul alle verplichte velden in."
"We could not verify your request. Please start again.","We konden uw verzoek niet verifiëren. Begin opnieuw."
"Something went wrong while processing your withdrawal. Please try again.","Er is iets misgegaan bij het verwerken van uw herroeping. Probeer het opnieuw."
"Changed your mind?","Van gedachten veranderd?"
"As an EU consumer you have the right to withdraw from this purchase. You can cancel your order online below — no account needed.","Als EU-consument heeft u het recht om deze aankoop te herroepen. U kunt uw bestelling hieronder online annuleren — geen account nodig."
"We have received your withdrawal","We hebben uw herroeping ontvangen"
"Content of your withdrawal","Inhoud van uw herroeping"
"Date and time of withdrawal","Datum en tijd van herroeping"
