"Cancel my order","Meine Bestellung stornieren"
"Order number","Bestellnummer"
"Email address","E-Mail-Adresse"
"Your name","Ihr Name"
"Reason (optional)","Grund (optional)"
"Continue","Weiter"
"e.g. 000000123","z. B. 000000123"
"Excluded products","Ausgeschlossene Produkte"
"Return shipping","Rücksendekosten"
"Refunds","Rückerstattungen"
"Please confirm your withdrawal","Bitte bestätigen Sie Ihren Widerruf"
"You are about to withdraw from the following order. This action will be recorded.","Sie sind dabei, die folgende Bestellung zu widerrufen. Dieser Vorgang wird protokolliert."
"Name","Name"
"Email","E-Mail"
"Item","Artikel"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Order total","Gesamtbetrag"
"Confirm withdrawal","Widerruf bestätigen"
"Cancel","Abbrechen"
"Your withdrawal has been received","Ihr Widerruf ist eingegangen"
"We have recorded your withdrawal and sent a confirmation to your email address as proof.","Wir haben Ihren Widerruf erfasst und Ihnen als Nachweis eine Bestätigung an Ihre E-Mail-Adresse gesendet."
"Proof reference","Nachweisreferenz"
"Confirmation sent to","Bestätigung gesendet an"
"Confirm your withdrawal","Bestätigen Sie Ihren Widerruf"
"Withdrawal received","Widerruf eingegangen"
"We could not find an order matching those details. Please check your order number and email address.","Wir konnten keine Bestellung mit diesen Angaben finden. Bitte überprüfen Sie Ihre Bestellnummer und E-Mail-Adresse."
"Too many attempts. Please wait a few minutes and try again.","Zu viele Versuche. Bitte warten Sie einige Minuten und versuchen Sie es erneut."
"The withdrawal period for this order has expired.","Die Widerrufsfrist für diese Bestellung ist abgelaufen."
"A withdrawal request for this order has already been received.","Für diese Bestellung ist bereits ein Widerruf eingegangen."
"Please complete all required fields.","Bitte füllen Sie alle Pflichtfelder aus."
"We could not verify your request. Please start again.","Wir konnten Ihre Anfrage nicht verifizieren. Bitte beginnen Sie erneut."
"Something went wrong while processing your withdrawal. Please try again.","Bei der Verarbeitung Ihres Widerrufs ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"Changed your mind?","Es sich anders überlegt?"
"As an EU consumer you have the right to withdraw from this purchase. You can cancel your order online below — no account needed.","Als EU-Verbraucher haben Sie das Recht, von diesem Kauf zurückzutreten. Sie können Ihre Bestellung unten online stornieren — kein Konto erforderlich."
"We have received your withdrawal","Wir haben Ihren Widerruf erhalten"
"Content of your withdrawal","Inhalt Ihres Widerrufs"
"Date and time of withdrawal","Datum und Uhrzeit des Widerrufs"
